chrUn_AAWZ02040322	chr17,37864,chr5,15600,chr13,12924
chrUn_AAWZ02036987	chr8,42520
chrUn_AAWZ02037102	chr2,19743
chrUn_AAWZ02040011	chr12,18071
chrUn_AAWZ02040584	chr7,34583
chrUn_AAWZ02040013	chr1,33820
chrUn_AAWZ02040012	chr10,7124
chrUn_AAWZ02040015	chr10,63597
chrUn_AAWZ02040014	chr5,31618,chr2,21662,chrX,2074
chrUn_AAWZ02034921	chr14,455806,chr3,9538
chrUn_AAWZ02040019	chr9,22809
chrUn_AAWZ02040018	chr6,44729
chrUn_GL344210	chr19,153650,chr9,19112
chrUn_GL343931	chr19,136618,chr8,136125,chr7,4398,chr1,2858
chrUn_GL344212	chr2,16302
chrUn_GL344213	chr9,169626,chr8,3182
chrUn_GL344214	chrX,78058,chrY,9450,chr13,4081
chrUn_GL343935	chr19,52966,chr1,7596
chrUn_GL344216	chr9,58304,chr3,11273,chr6,3935
chrUn_GL344217	chr16,192843,chr5,2956
chrUn_GL344218	chr19,179993,chr15,57958,chr9,14328
chrUn_GL344219	chr19,87733,chr10,10848,chr16,5810,chr5,5169,chrX,2230
chrUn_AAWZ02037297	chr7,10548
chrUn_AAWZ02036254	chr16,95586
chrUn_AAWZ02037032	chr6,20108
chrUn_AAWZ02037034	chr15,44777
chrUn_AAWZ02037037	chr2,83238
chrUn_AAWZ02040641	chr19,25374,chr15,2058
chrUn_AAWZ02037038	chr16,20189
chrUn_AAWZ02035520	chr20,8228
chrUn_AAWZ02038481	chr19,30022,chr5,3262
chrUn_AAWZ02036255	chr20,66474
chrUn_GL344236	chr1,80783
chrUn_GL345071	chr1,22205
chrUn_GL345070	chr5,75863
chrUn_GL344078	chr1,63369
chrUn_GL344079	chr17,26675
chrUn_AAWZ02041138	chr8,14646
chrUn_GL344237	chr9,29919
chrUn_GL344074	chr19,263025
chrUn_GL344075	chr11,74215
chrUn_GL344076	chr1,161061,chr19,35238,chr22,10497,chr17,2819
chrUn_GL344077	chr11,915482,chr4,4858
chrUn_GL344070	chr20,18715,chr11,10185,chr2,9286,chr1,8579
chrUn_GL344071	chrX,83378,chr10,33305
chrUn_GL344072	chr9,121016,chr6,24830,chr4,4000
chrUn_GL344073	chr10,82704,chr3,14873,chr1,5754
chrUn_AAWZ02037583	chrX,12006
chrUn_GL344235	chrY,19526,chr7,8676,chr11,7157,chrX,2793
chrUn_GL343808	chrX,24167
chrUn_GL343809	chr19,111180,chr6,26739,chr4,7716,chr22,3691,chr3,3223,chr16,2376
chrUn_GL344678	chr17,82467,chr2,9847,chr7,3164,chr6,2799
chrUn_GL343672	chr19,141506,chr11,64901,chr6,40516,chr5,23145,chr20,7098,chr16,6101,chr10,4247
chrUn_GL343804	chr9,384336
chrUn_GL344232	chr9,30954
chrUn_GL343806	chr15,626176
chrUn_GL343807	chr7,334187,chr2,3156
chrUn_GL343800	chr7,19792,chr8,12919,chr10,7983
chrUn_GL343801	chr11,346393,chr19,38242,chr14,5877
chrUn_GL343802	chr1,347255
chrUn_GL343803	chr16,196702,chr3,7254
chrUn_GL344230	chr1,65394
chrUn_AAWZ02038501	chr1,16784
chrUn_GL345095	chr2,38318,chr11,5067
chrUn_GL344231	chr1,22473,chr18,18930
chrUn_GL345091	chr8,45706
chrUn_AAWZ02038050	chr1,13101
chrUn_AAWZ02038051	chr1,35904
chrUn_AAWZ02040907	chr4,27758,chr13,6938
chrUn_AAWZ02041097	chr3,9206
chrUn_GL343434	chr19,1041323,chrY,2001
chrUn_AAWZ02036948	chr5,13172
chrUn_AAWZ02036462	chr5,14308,chr6,7150,chr4,2440
chrUn_AAWZ02039198	chr2,27232,chr1,9724
chrUn_AAWZ02037639	chr8,23320
chrUn_GL343436	chr2,948495,chr14,21968,chr3,3127
chrUn_GL344238	chr1,100366
chrUn_GL344239	chr1,65541
chrUn_AAWZ02039837	chr4,10228
chrUn_AAWZ02039835	chr2,31916
chrUn_AAWZ02039052	chr1,21373
chrUn_AAWZ02039830	chr17,21475
chrUn_AAWZ02035675	chr1,90166
chrUn_AAWZ02037688	chr11,21586
chrUn_AAWZ02039229	chr7,15504
chrUn_AAWZ02039054	chr11,9771
chrUn_AAWZ02038818	chr1,70372
chrUn_AAWZ02040300	chr2,12733
chrUn_AAWZ02041568	chr19,10337,chr15,4515
chrUn_AAWZ02041564	chr7,48839,chr3,4478
chrUn_AAWZ02040168	chr15,60879
chrUn_AAWZ02041258	chr2,12880
chrUn_AAWZ02039696	chr3,16834
chrUn_AAWZ02040305	chr3,13426
chrUn_AAWZ02040307	chr1,32938
chrUn_AAWZ02040763	chr9,25513
chrUn_AAWZ02039690	chr3,10146
chrUn_AAWZ02041195	chr12,48230
chrUn_AAWZ02041194	chr6,8391
chrUn_AAWZ02037171	chr4,17484
chrUn_AAWZ02038398	chr1,8685
chrUn_AAWZ02038395	chr16,91928
chrUn_AAWZ02038391	chr10,27937,chr7,4140,chr13,3444
chrUn_AAWZ02038390	chr3,43101
chrUn_AAWZ02038392	chr2,31445
chrUn_GL343488	chr1,1901809,chr8,6304
chrUn_GL343489	chr11,278607,chr2,36246,chr12,7893
chrUn_GL343480	chr1,841392,chr13,16947,chr2,12616,chr22,10215,chr14,7963,chr7,3956,chr5,3305
chrUn_GL343481	chr1,1759243,chr11,9680,chr13,4816
chrUn_GL343482	chr9,318699,chr1,27339,chr19,10849,chr7,7696,chr11,3441
chrUn_GL343483	chr16,2783381,chr19,533669
chrUn_GL343484	chr2,440210,chr7,216932,chr10,64758,chr4,28983
chrUn_GL343485	chr1,223169
chrUn_GL343486	chr15,853187,chr19,22742,chr20,13602,chr6,2408
chrUn_GL343487	chr16,1020162
chrUn_AAWZ02038469	chr19,25600
chrUn_AAWZ02038466	chr16,14643,chr8,6613,chr7,3034
chrUn_AAWZ02038463	chr5,40724
chrUn_AAWZ02041757	chr9,15308,chr1,13923
chrUn_AAWZ02038460	chr14,17238
chrUn_AAWZ02041283	chr7,20458
chrUn_AAWZ02040379	chr9,21997
chrUn_AAWZ02041280	chr1,32715
chrUn_AAWZ02041286	chr14,16484
chrUn_AAWZ02040373	chr1,11682
chrUn_AAWZ02037173	chr3,39444,chr12,2300
chrUn_AAWZ02040377	chr21,80582
chrUn_AAWZ02036379	chr3,22338
chrUn_AAWZ02038480	chr19,32129
chrUn_AAWZ02038483	chr19,24865
chrUn_AAWZ02038485	chr15,46228
chrUn_AAWZ02038484	chr2,42882
chrUn_AAWZ02038487	chr14,24759,chr5,10952
chrUn_AAWZ02036376	chr10,7975
chrUn_AAWZ02039671	chr17,8928
chrUn_AAWZ02038009	chr19,32006,chr5,2711
chrUn_AAWZ02038008	chr16,28403
chrUn_GL344546	chr1,151155
chrUn_AAWZ02038003	chr7,38711
chrUn_AAWZ02038002	chr16,27242,chr19,6648,chr3,2725
chrUn_AAWZ02039029	chr8,44805
chrUn_GL344547	chr16,102661,chr15,3762
chrUn_AAWZ02036773	chr4,19554
chrUn_GL343331	chr10,257475,chr19,33807,chr17,20802,chr4,14531,chrX,10746,chr9,10049,chr12,5925,chr8,4576,chr15,2926
chrUn_AAWZ02039020	chr16,35635
chrUn_GL344540	chr16,24464
chrUn_AAWZ02040570	chr2,15673
chrUn_AAWZ02037530	chr19,82128
chrUn_GL344541	chr17,27459
chrUn_GL343309	chr8,287687,chr12,27577,chr17,25198,chr22,18064,chr3,13301
chrUn_GL344995	chr19,56298
chrUn_AAWZ02036545	chr16,167263
chrUn_AAWZ02038158	chr4,8393
chrUn_AAWZ02037893	chr7,14495
chrUn_AAWZ02036833	chr1,44739
chrUn_AAWZ02039678	chr3,25111
chrUn_AAWZ02038732	chr11,65929
chrUn_AAWZ02038731	chr9,13223
chrUn_AAWZ02038730	chr1,27787
chrUn_AAWZ02038737	chr6,11867
chrUn_GL344465	chrX,78655
chrUn_AAWZ02038735	chr3,10841
chrUn_AAWZ02038734	chr19,7612
chrUn_AAWZ02038131	chr2,16997
chrUn_AAWZ02041173	chr11,9209
chrUn_GL344464	chr2,18682
chrUn_AAWZ02040509	chr1,15304
chrUn_AAWZ02040488	chr1,34411
chrUn_AAWZ02040486	chr9,18192
chrUn_GL343303	chrX,412729,chr5,31671,chr14,15264,chr6,9006,chr17,7661
chrUn_AAWZ02040485	chr19,15823
chrUn_AAWZ02039731	chr16,11530,chr15,10133
chrUn_AAWZ02037309	chr15,54858,chr8,4234
chrUn_GL344462	chr6,26817
chrUn_AAWZ02037916	chr14,15217
chrUn_AAWZ02037917	chr17,15463,chr1,10211
chrUn_AAWZ02037914	chr1,24832
chrUn_GL343892	chr8,313529
chrUn_AAWZ02039288	chr19,21584,chr1,8703
chrUn_GL344461	chr9,128227,chr16,12504
chrUn_AAWZ02037910	chr5,10834,chr1,9824
chrUn_AAWZ02040506	chr17,12836
chrUn_AAWZ02039284	chr19,43721
chrUn_AAWZ02037440	chr9,56756,chr1,3000
chrUn_AAWZ02039286	chr13,14894
chrUn_GL344460	chr9,41608
chrUn_AAWZ02039280	chr15,31683
chrUn_AAWZ02039281	chr9,15061
chrUn_AAWZ02037918	chr4,11117
chrUn_AAWZ02037919	chr9,76017
chrUn_AAWZ02036190	chr14,33692,chr16,5983
chrUn_AAWZ02036194	chr3,30998,chr8,20238,chr14,6109
chrUn_GL345117	chr11,28399
chrUn_GL343891	chr16,338471,chr2,28355
chrUn_GL344681	chr14,16347
chrUn_GL344680	chr11,7083
chrUn_AAWZ02039510	chr2,18415
chrUn_GL344685	chr14,28457,chr20,2861,chr8,2770
chrUn_GL345119	chr19,7558
chrUn_GL344689	chr11,153503
chrUn_GL344688	chr15,63620,chr19,3007
chrUn_AAWZ02037767	chr7,52954,chr1,3693
chrUn_GL344113	chr19,190406,chr17,12428,chr6,6128,chr3,5573,chr4,3809,chr7,3626,chrX,3196,chr18,2677
chrUn_GL344444	chr11,85683
chrUn_GL344447	chr19,163298
chrUn_GL344446	chr1,15095
chrUn_GL344441	chr1,49903
chrUn_GL344116	chr20,40277
chrUn_GL344115	chr10,89479
chrUn_GL344114	chr16,37556
chrUn_AAWZ02039608	chr16,26368
chrUn_AAWZ02037823	chr3,50086,chr4,13617,chr5,6345,chr2,4374,chr12,4357,chr17,2935,chr22,2372
chrUn_GL344119	chr12,53282
chrUn_GL344118	chr1,77528,chr7,53573,chr2,29434,chr17,8053
chrUn_GL344449	chr1,207040,chr19,23201
chrUn_GL344448	chr3,22910
chrUn_AAWZ02037824	chr1,24674
chrUn_GL343890	chr11,213244
chrUn_AAWZ02040151	chrX,8041
chrUn_AAWZ02040152	chr18,39504
chrUn_AAWZ02040154	chr9,29189,chr1,3866
chrUn_GL344753	chr17,15010,chr3,8874
chrUn_AAWZ02040156	chr6,18268
chrUn_GL344999	chr22,12027
chrUn_AAWZ02036999	chr9,54080,chr16,15256
chrUn_GL344863	chr17,33000
chrUn_AAWZ02036993	chr1,51713
chrUn_GL343897	chr11,184563
chrUn_AAWZ02037801	chr9,7219
chrUn_AAWZ02037132	chr14,10998
chrUn_AAWZ02038860	chr8,37894
chrUn_AAWZ02037134	chr12,24264
chrUn_AAWZ02037136	chr9,9702
chrUn_GL344998	chr15,75911
chrUn_GL343929	chr1,27538
chrUn_GL343928	chr11,220442
chrUn_GL344207	chr19,16173
chrUn_GL344206	chr7,56382
chrUn_GL344205	chr17,44744,chr7,6642,chr22,2122
chrUn_GL344204	chr13,60702,chr10,22647,chr1,10503,chr7,5492
chrUn_GL343923	chr14,203117
chrUn_GL344202	chr9,253918
chrUn_GL344201	chr1,51656,chr13,18486,chr2,14814,chr5,5700
chrUn_GL344200	chr9,192049
chrUn_AAWZ02037722	chr15,46656,chr6,13350
chrUn_AAWZ02037001	chr10,14841
chrUn_AAWZ02038268	chr5,7892
chrUn_GL343895	chr3,122943,chr7,119721
chrUn_AAWZ02035514	chr11,46984
chrUn_GL344069	chrX,38294
chrUn_GL344611	chr16,12797
chrUn_GL344063	chr20,62213
chrUn_GL344062	chr9,91947,chr12,18360,chr4,12729,chr5,8759
chrUn_GL344061	chr19,66316,chr15,45944
chrUn_GL344060	chr20,155342,chr16,40899
chrUn_GL344067	chr1,214776,chr11,14385,chr10,10544,chrX,2558
chrUn_GL344066	chr2,69409
chrUn_GL344065	chr7,106855,chr22,85247,chr13,2582
chrUn_GL344064	chr2,85592,chr22,25746
chrUn_GL344849	chr22,25888
chrUn_GL343819	chr7,273565
chrUn_GL343818	chr4,78914
chrUn_GL344668	chr9,33927
chrUn_GL343813	chrX,392920,chr20,11366
chrUn_GL344664	chr8,19242
chrUn_GL343811	chr17,111584,chr16,2141
chrUn_GL343810	chr10,510554
chrUn_GL343817	chr1,41983,chr7,30203,chr8,4070
chrUn_GL343816	chr19,100694,chr11,12398
chrUn_GL343815	chr2,280344
chrUn_GL343814	chr2,92192
chrUn_AAWZ02038262	chr16,8904
chrUn_AAWZ02041380	chr15,19811,chr19,2000
chrUn_AAWZ02039881	chr15,9419
chrUn_AAWZ02040972	chr16,23472
chrUn_AAWZ02038267	chr2,36634,chr9,3333
chrUn_AAWZ02041691	chr4,25468
chrUn_AAWZ02035863	chr5,8908
chrUn_AAWZ02038304	chr3,27990
chrUn_AAWZ02039679	chr19,11737
chrUn_AAWZ02037648	chr5,15688
chrUn_AAWZ02037649	chr1,51641
chrUn_AAWZ02037646	chr11,8223
chrUn_AAWZ02037647	chr9,25851
chrUn_AAWZ02041507	chr19,9959
chrUn_GL344865	chr19,55763,chrUn_gl000223,4839,chr1,3975
chrUn_AAWZ02038303	chr19,32215
chrUn_AAWZ02039191	chr1,73929
chrUn_AAWZ02040808	chr14,30180
chrUn_AAWZ02040809	chr1,7569
chrUn_AAWZ02040805	chr18,6109
chrUn_AAWZ02041090	chr1,22903
chrUn_AAWZ02041750	chr12,21945
chrUn_AAWZ02039402	chr12,21981
chrUn_GL344798	chr6,25063
chrUn_AAWZ02039400	chr1,43306
chrUn_AAWZ02041578	chr16,21633
chrUn_AAWZ02041574	chr19,44910,chr15,5336
chrUn_AAWZ02039781	chr8,14040
chrUn_AAWZ02041571	chr5,9081
chrUn_AAWZ02041618	chr11,10032
chrUn_AAWZ02035088	chr9,24244
chrUn_AAWZ02035082	chr16,132501
chrUn_AAWZ02041611	chr16,38335
chrUn_AAWZ02039405	chr19,30293
chrUn_AAWZ02041616	chr19,62928
chrUn_AAWZ02037481	chr15,41858
chrUn_AAWZ02039533	chr11,21532,chr7,8227,chr19,3716,chr1,2368
chrUn_AAWZ02037482	chr6,38865
chrUn_AAWZ02039409	chrX,20368,chr11,6420
chrUn_GL344794	chr20,135539
chrUn_AAWZ02040719	chr16,9917
chrUn_AAWZ02040716	chr6,17187
chrUn_AAWZ02040712	chr12,14638
chrUn_AAWZ02040711	chr6,48722
chrUn_AAWZ02037221	chr18,64742
chrUn_GL343949	chr11,436919
chrUn_GL343948	chr16,195355
chrUn_AAWZ02040122	chr18,12045
chrUn_AAWZ02040866	chr1,20233
chrUn_AAWZ02040125	chr17,35134
chrUn_GL343497	chr2,240726,chr3,13938
chrUn_GL343496	chr19,294037,chr14,58650,chr2,39035,chr7,20777,chr13,14251,chr15,11236,chr9,8854,chr22,4649
chrUn_GL343495	chr10,115150,chr13,7603
chrUn_GL343494	chr9,535490,chr8,14286,chr10,6264
chrUn_GL343493	chr11,405954,chrX,5517,chr3,2719
chrUn_GL343492	chr15,410878,chr7,22467
chrUn_GL343491	chr14,740364,chr11,12657,chr10,11149,chr1,4349,chr13,2527
chrUn_GL343490	chr15,1392400,chr8,14487,chr1,5895,chr18,4981,chr4,4261,chr11,3190
chrUn_AAWZ02038255	chr5,10417
chrUn_AAWZ02038257	chr1,47913
chrUn_AAWZ02038250	chr19,64403
chrUn_AAWZ02038251	chr19,13430
chrUn_GL343499	chr7,202380
chrUn_GL343498	chr1,1249544
chrUn_GL343941	chr15,488000
chrUn_AAWZ02039785	chr1,7154
chrUn_AAWZ02040624	chr7,27829
chrUn_GL343940	chr2,198154,chr6,2226
chrUn_GL343943	chr9,234102,chr1,2223
chrUn_AAWZ02041763	chr7,36277
chrUn_GL343942	chr19,143505
chrUn_AAWZ02040368	chr3,16367
chrUn_AAWZ02040367	chr6,12719
chrUn_GL343945	chr1,19728,chr5,15086
chrUn_GL343944	chr19,100099,chr9,48880,chr2,15075,chr10,11950,chr1,8459,chr16,6716,chr17,4823,chr7,3615
chrUn_AAWZ02036348	chr9,53104
chrUn_GL344267	chr11,160695
chrUn_AAWZ02036345	chr11,34716,chr4,9529
chrUn_AAWZ02036695	chr9,73927
chrUn_AAWZ02036342	chr4,15056
chrUn_AAWZ02036691	chr4,7968
chrUn_GL344493	chr9,54353
chrUn_AAWZ02041651	chr7,17113
chrUn_GL344142	chr19,122196,chr8,2649
chrUn_AAWZ02039787	chr2,12783
chrUn_AAWZ02036748	chr6,37280
chrUn_AAWZ02038031	chr19,11363
chrUn_GL344143	chr1,123845
chrUn_AAWZ02039039	chr2,11306
chrUn_AAWZ02039038	chr14,19415
chrUn_AAWZ02037225	chr12,14579,chr3,2710
chrUn_GL344496	chr7,135177
chrUn_AAWZ02040563	chr6,70044,chr17,5971
chrUn_AAWZ02039033	chr18,34971
chrUn_AAWZ02040564	chr22,58766
chrUn_AAWZ02039031	chr7,60414
chrUn_GL344145	chr19,45951,chr16,28788,chr4,23141,chr3,6219,chr7,2921
chrUn_AAWZ02039293	chr9,24885,chr17,6377
chrUn_AAWZ02039290	chr1,15513,chr5,7558
chrUn_AAWZ02039297	chr1,13246,chr4,6385
chrUn_GL344146	chr20,129957
chrUn_AAWZ02039299	chrX,36379
chrUn_GL344147	chr17,38323,chr1,8967
chrUn_AAWZ02039535	chr7,26238
chrUn_AAWZ02037226	chrX,94566
chrUn_GL344981	chr21,33556
chrUn_AAWZ02038746	chr9,89141
chrUn_AAWZ02038744	chr8,30952
chrUn_AAWZ02040337	chr3,58842,chr1,25604
chrUn_AAWZ02041144	chr19,32972
chrUn_AAWZ02040499	chr11,24578
chrUn_AAWZ02038101	chr1,59793
chrUn_AAWZ02038102	chr17,58531
chrUn_AAWZ02038103	chr20,38709
chrUn_AAWZ02040495	chr1,26297
chrUn_AAWZ02040494	chr11,7355,chr19,6385
chrUn_AAWZ02040497	chr4,8068
chrUn_AAWZ02038109	chr22,11335
chrUn_AAWZ02040492	chr10,10953
chrUn_AAWZ02039723	chr11,20911,chr10,2837
chrUn_AAWZ02038412	chrX,21724
chrUn_AAWZ02037907	chr5,11677
chrUn_AAWZ02037906	chr9,20656
chrUn_AAWZ02037227	chr3,29202
chrUn_AAWZ02036675	chr14,12620
chrUn_AAWZ02039729	chr22,27615
chrUn_AAWZ02041381	chr7,17249
chrUn_AAWZ02037909	chr19,61740,chr1,4200
chrUn_AAWZ02037908	chr13,8641
chrUn_AAWZ02041384	chr19,12211
chrUn_GL344816	chr16,13005,chrX,2694,chr19,2387
chrUn_AAWZ02038411	chr11,41868,chrX,2747
chrUn_GL344817	chr1,7623
chrUn_AAWZ02036670	chr7,65235,chr16,34315
chrUn_AAWZ02040261	chr10,29620
chrUn_AAWZ02036671	chr16,76162
chrUn_AAWZ02037343	chr8,6673
chrUn_AAWZ02037142	chr19,47779,chr6,17303,chr16,5248,chr12,3119,chr9,2848
chrUn_AAWZ02036231	chr1,227204
chrUn_AAWZ02036232	chr9,182678
chrUn_AAWZ02039503	chr16,21182
chrUn_GL344812	chr9,29919
chrUn_AAWZ02037349	chr19,53756,chr5,6635
chrUn_AAWZ02039507	chr21,16903,chr11,3254
chrUn_AAWZ02039506	chr7,38817
chrUn_AAWZ02037144	chr11,23913
chrUn_GL343310	chrX,1680119,chr4,73855,chr20,22449,chr13,2401
chrUn_GL343311	chr6,1336096,chr18,32789,chr17,15675,chr20,2037
chrUn_GL343312	chr19,1559428,chr8,4304,chr5,3949,chr16,3313,chr18,3223,chrUn_gl000222,3064,chr1,3000,chr7,2983
chrUn_GL343313	chr4,744875,chrM,627196,chr11,18253,chr18,11159,chr3,9909,chr9,8277
chrUn_GL343314	chr11,757954
chrUn_GL343315	chr6,1157071,chr15,8090
chrUn_GL343316	chr2,2293619,chr9,22993,chr12,14027
chrUn_GL343317	chr4,520864
chrUn_GL343318	chr14,826361,chr4,105375,chr1,27097,chr8,2633
chrUn_GL343319	chr18,1639239,chr11,353006
chrUn_AAWZ02037835	chr20,9943
chrUn_AAWZ02037834	chr3,7078
chrUn_AAWZ02040145	chr19,23474
chrUn_AAWZ02040143	chr2,7618
chrUn_AAWZ02037795	chr14,22789
chrUn_AAWZ02040148	chrX,13767,chr3,2907
chrUn_AAWZ02038817	chr16,37549
chrUn_GL344788	chr1,13120
chrUn_GL344789	chr16,17430
chrUn_AAWZ02038813	chr11,33013
chrUn_AAWZ02037120	chr16,24737
chrUn_GL344782	chr4,9139
chrUn_GL344783	chr19,125470,chr18,23293
chrUn_AAWZ02040341	chr12,26533,chr3,2250
chrUn_GL343847	chr9,70579,chr12,47920,chr15,5658
chrUn_GL344786	chr13,15592
chrUn_GL344784	chr11,19060
chrUn_GL343958	chr14,35913,chr19,6318
chrUn_GL343959	chr1,183491,chr7,6700
chrUn_GL343952	chr11,234753,chr4,63544,chr22,3472
chrUn_GL344273	chr11,360392
chrUn_GL344270	chr19,67112,chr11,22789,chr15,4788
chrUn_GL344271	chr1,76164
chrUn_GL343956	chr9,185146,chr13,29041,chr22,3371
chrUn_GL343957	chr16,302326
chrUn_GL343954	chr16,81805
chrUn_GL343955	chr19,198155,chr7,10501,chr8,8501,chr6,5625,chr10,4887
chrUn_AAWZ02038039	chr11,48895
chrUn_AAWZ02037019	chr4,29359
chrUn_AAWZ02037018	chr19,38617
chrUn_AAWZ02037012	chr1,86419
chrUn_AAWZ02037011	chr6,10312
chrUn_AAWZ02038921	chr9,72209,chr19,14767,chr11,4286,chr8,3959,chr7,3056
chrUn_AAWZ02041966	chr16,16634
chrUn_AAWZ02038925	chr19,53477
chrUn_GL345114	chrX,16666
chrUn_GL344875	chr5,42309,chr8,10672
chrUn_GL344097	chr9,314107,chr18,13778,chr19,7274,chr16,2072
chrUn_GL344094	chr9,40758
chrUn_GL344095	chr7,124975
chrUn_GL344092	chrX,102929
chrUn_GL344093	chr16,162517
chrUn_GL344090	chr2,35912
chrUn_GL344091	chr19,12731,chr16,11542
chrUn_GL344988	chr19,80781
chrUn_AAWZ02039819	chr4,16834
chrUn_AAWZ02037582	chr19,50649
chrUn_GL344098	chr8,14428
chrUn_GL344099	chr6,109040,chr19,73906,chr9,9921,chr3,5345,chr1,2631
chrUn_GL344306	chr16,30320,chr19,7822
chrUn_GL344307	chr1,19376
chrUn_GL344304	chr18,32270
chrUn_GL344305	chr17,17077
chrUn_GL344302	chr8,341270
chrUn_AAWZ02036837	chr11,70246
chrUn_GL344300	chr1,21283
chrUn_GL344301	chr1,28932
chrUn_GL344651	chr19,63259,chr1,6026
chrUn_AAWZ02036838	chr19,89150,chr14,6254
chrUn_GL344878	chr7,29265
chrUn_GL344309	chr10,31651
chrUn_GL344989	chr9,51782
chrUn_AAWZ02039667	chr5,37587
chrUn_AAWZ02036522	chr11,14164
chrUn_AAWZ02040966	chr19,19427
chrUn_AAWZ02040961	chr19,15322
chrUn_GL343883	chr16,509955
chrUn_GL344898	chr9,52123
chrUn_GL344899	chr19,48173
chrUn_GL344892	chr7,15227
chrUn_AAWZ02040968	chr9,10679
chrUn_GL344890	chr18,26602,chr8,2352
chrUn_AAWZ02037989	chr19,83860
chrUn_AAWZ02037657	chr6,18486
chrUn_AAWZ02037656	chr16,65639
chrUn_AAWZ02041540	chr9,11255
chrUn_AAWZ02041813	chr4,13804
chrUn_AAWZ02039665	chr12,16736
chrUn_AAWZ02041815	chr15,7696
chrUn_AAWZ02041818	chr19,28531
chrUn_AAWZ02040812	chr10,18387
chrUn_AAWZ02040817	chr6,14220
chrUn_AAWZ02040816	chr1,7086
chrUn_AAWZ02040229	chr9,9492
chrUn_AAWZ02036553	chr4,13319,chr7,8568
chrUn_GL344647	chr20,34112
chrUn_AAWZ02040581	chr13,8969
chrUn_GL344646	chr11,10660
chrUn_GL344645	chr1,71453
chrUn_AAWZ02038736	chr19,49717
chrUn_AAWZ02035767	chr2,135898
chrUn_GL344644	chr16,147225
chrUn_AAWZ02040267	chr19,25466
chrUn_GL343794	chr14,118726
chrUn_GL343795	chr15,269094
chrUn_GL343796	chr3,113825
chrUn_GL343797	chr11,189897
chrUn_GL343790	chr7,697404,chr1,6688,chr16,3687,chr19,2827,chr13,2814,chr2,2754
chrUn_GL343791	chr9,282212,chr19,22098
chrUn_GL343792	chr11,299067
chrUn_GL343793	chr5,125382,chr3,67455,chr20,9685
chrUn_AAWZ02041607	chr8,46474,chr12,39172
chrUn_AAWZ02041606	chr2,14357
chrUn_GL344864	chr17,55919
chrUn_GL343798	chrX,130413,chr4,7123
chrUn_GL343799	chr22,116324,chr7,97657,chr13,11360,chr16,4088,chr19,3219,chr2,3172
chrUn_AAWZ02041601	chr17,14655
chrUn_GL343556	chr9,668095,chr2,18064
chrUn_GL343557	chr19,319616,chr12,10213,chr1,7725,chr10,4329,chr8,3832,chr17,3279,chr9,2998,chr3,2513,chr21,2231
chrUn_GL343554	chr1,700519
chrUn_GL343555	chr11,423022
chrUn_GL343552	chr9,69346,chr21,11732
chrUn_GL343553	chr8,259101,chr20,20476,chr3,6491
chrUn_GL343550	chr12,805012
chrUn_GL343551	chr8,202920
chrUn_GL343558	chr1,628491,chr8,41184,chr18,19613,chr14,9207
chrUn_GL343559	chr10,236981,chr7,176217
chrUn_AAWZ02041177	chr1,15291
chrUn_GL343888	chr9,564998
chrUn_AAWZ02036444	chr11,30811,chr3,6624
chrUn_GL343976	chr20,40603
chrUn_AAWZ02041178	chr19,39601
chrUn_AAWZ02039669	chr18,19390
chrUn_AAWZ02040702	chr7,25037,chr9,17804
chrUn_AAWZ02036528	chr19,74638,chr20,2828
chrUn_AAWZ02041777	chr11,18924
chrUn_GL343889	chr7,358356,chr17,10594,chr10,8021,chr16,6687
chrUn_AAWZ02038649	chr11,21379
chrUn_AAWZ02040481	chr7,44866
chrUn_AAWZ02039326	chr1,45684
chrUn_AAWZ02041375	chr12,6330
chrUn_AAWZ02038242	chr1,45098
chrUn_AAWZ02038241	chr2,30064
chrUn_AAWZ02040635	chr9,41680
chrUn_AAWZ02038245	chr17,50381
chrUn_AAWZ02040636	chr15,13991
chrUn_AAWZ02037913	chr6,31189,chr3,9298,chr19,7083
chrUn_AAWZ02041371	chr8,10625
chrUn_AAWZ02037858	chr14,38216,chr15,2322
chrUn_AAWZ02037156	chr19,37325,chr14,37215
chrUn_GL343971	chr3,43091
chrUn_AAWZ02036689	chr1,29231,chr19,2131
chrUn_AAWZ02036688	chr19,66869
chrUn_AAWZ02039285	chr3,36177
chrUn_AAWZ02036681	chr22,24179
chrUn_GL343779	chr1,258042,chr10,15322
chrUn_GL343776	chr14,367238,chr17,9670
chrUn_GL343777	chr19,214586,chr7,12873,chr9,5259,chr6,3191,chr15,2368
chrUn_GL343774	chr20,117525,chr18,2277
chrUn_GL343775	chr19,159254,chr4,8142,chr3,3221
chrUn_GL343772	chr19,297979
chrUn_GL343773	chr19,245429,chr16,210133,chr7,20804,chr11,14524,chr1,13948,chr3,13043
chrUn_GL343770	chr20,195712,chr11,29333,chr6,7953
chrUn_GL344370	chr1,223544
chrUn_AAWZ02038027	chr3,15949,chr13,10668
chrUn_AAWZ02038023	chr20,18297,chr5,6578
chrUn_AAWZ02038021	chr3,56235,chr19,5784
chrUn_AAWZ02036756	chr9,163005
chrUn_AAWZ02036753	chr20,17316
chrUn_AAWZ02040551	chr7,11632
chrUn_AAWZ02038028	chr19,38069
chrUn_AAWZ02038884	chr7,11782
chrUn_GL343973	chr11,223399
chrUn_AAWZ02039990	chr11,19644
