chrUn_AAWZ02040322	chr15,40212,chr19,2973
chrUn_AAWZ02040014	chrUn_random,24095,chr26,14204,chr27,3924
chrUn_AAWZ02034921	chr5,500567,chr2,7951
chrUn_AAWZ02040018	chr17,9729
chrUn_GL344210	chr28,117872,chrUn_random,4586,chr10,3442
chrUn_GL343931	chr2,210630,chr18,46446,chrE22C19W28_E50C23_random,29784
chrUn_GL344212	chr22,84719
chrUn_GL344213	chr17,190355,chr1,2405
chrUn_GL344214	chr4,49471
chrUn_GL344215	chr4,30379,chrZ,14503
chrUn_GL343936	chr14,410100,chrUn_random,19959
chrUn_GL344217	chr11,248424
chrUn_GL344218	chr10,291705
chrUn_GL344219	chrUn_random,56684,chr1,6374,chr14,3798
chrUn_AAWZ02037297	chrUn_random,23059,chr7,3623
chrUn_AAWZ02038611	chr8,16096
chrUn_AAWZ02036254	chr11,112690
chrUn_AAWZ02037032	chr3,23869
chrUn_AAWZ02037034	chr10,44451
chrUn_AAWZ02037037	chrUn_random,42643
chrUn_AAWZ02040641	chr10,13580
chrUn_AAWZ02037039	chr1,29867
chrUn_AAWZ02036809	chr13,23669
chrUn_AAWZ02035520	chr2,15713,chr20,12066
chrUn_AAWZ02036255	chr20,92435
chrUn_GL344236	chr8,73971,chr1,13646
chrUn_GL345071	chr21,39772
chrUn_GL345070	chr13,122284
chrUn_GL344078	chr21,75134
chrUn_GL344079	chr14,32302
chrUn_AAWZ02041138	chr2,15104
chrUn_GL344237	chr17,80697
chrUn_GL344074	chr11,319793,chrUn_random,11527
chrUn_GL344075	chr24,56868
chrUn_GL344076	chr25,106381,chrZ,13274,chr10,7292,chr9,2741
chrUn_GL344077	chrUn_random,273015,chr5,7963
chrUn_GL344070	chr3,27726,chr16,7098
chrUn_GL344071	chr4,94144,chr1,39057
chrUn_GL344072	chr17,208500,chr16,16504,chr3,10400
chrUn_GL344073	chr6,124325,chr18,13584
chrUn_AAWZ02037583	chrUn_random,9064
chrUn_GL344235	chr5,20382,chrZ,15201,chr19,11404,chr20,4871
chrUn_GL343808	chr4,142017
chrUn_GL343809	chrUn_random,86311,chr18,46949,chr14,8440,chrE22C19W28_E50C23_random,7815
chrUn_GL344678	chr27,89374,chr1,3460
chrUn_GL343672	chrUn_random,62663,chrE22C19W28_E50C23_random,14368,chr13,12040,chr21,7237
chrUn_GL343804	chrZ,386105
chrUn_GL344232	chrUn_random,18277
chrUn_GL343806	chr10,797075
chrUn_GL343807	chr15,141648,chr7,88729,chr27,63707
chrUn_GL343800	chrUn_random,19421,chr22,12601,chr1,9174
chrUn_GL343801	chr28,51686,chr5,50403,chr3,30040,chr15,24678,chr1,15424
chrUn_GL343802	chr25,364519,chrZ,47098
chrUn_GL343803	chr14,259538
chrUn_GL344230	chr21,88043
chrUn_AAWZ02038501	chr8,15822
chrUn_GL345095	chr3,32666
chrUn_GL345097	chr22,7441
chrUn_GL344231	chr20,9650
chrUn_GL345091	chr22,52135
chrUn_AAWZ02038050	chr21,37495
chrUn_AAWZ02040902	chr3,8173
chrUn_AAWZ02038051	chr21,37321
chrUn_AAWZ02040907	chr4,37112
chrUn_AAWZ02041097	chr1,16399
chrUn_GL343434	chrUn_random,488706,chr18,304271,chr16,80474,chrE64,34825,chr1,31649,chrE22C19W28_E50C23_random,23252
chrUn_AAWZ02036462	chr16,16028
chrUn_AAWZ02039198	chr3,35542
chrUn_AAWZ02037639	chr20,7379
chrUn_GL343436	chr7,1118124
chrUn_GL344238	chr25,128325
chrUn_AAWZ02039050	chr20,6248
chrUn_GL344239	chr21,59223,chrUn_random,16122
chrUn_AAWZ02039053	chr4,19693
chrUn_AAWZ02039837	chr4,12498
chrUn_AAWZ02039835	chr1,29665
chrUn_AAWZ02041099	chr10,25687,chrZ,2285
chrUn_AAWZ02035675	chr25,99760
chrUn_AAWZ02039055	chrZ,19012
chrUn_AAWZ02037688	chr5,30640
chrUn_AAWZ02039054	chr1,10477
chrUn_AAWZ02040394	chr20,17199
chrUn_AAWZ02039756	chr14,6503
chrUn_AAWZ02038818	chr21,68453
chrUn_AAWZ02041568	chr28,13495
chrUn_AAWZ02041564	chr12,33313
chrUn_AAWZ02039065	chr19,26936
chrUn_AAWZ02041621	chrZ,12624
chrUn_AAWZ02041629	chr3,12196
chrUn_GL344901	chr11,24538
chrUn_AAWZ02039696	chr2,9141
chrUn_AAWZ02040305	chr9,16718
chrUn_AAWZ02037170	chr4,26507
chrUn_AAWZ02040307	chr21,34674
chrUn_AAWZ02040763	chr17,25577
chrUn_AAWZ02040306	chr10,19105
chrUn_AAWZ02040767	chr6,31282
chrUn_AAWZ02041194	chr2,10158
chrUn_AAWZ02041190	chr1,12699
chrUn_AAWZ02037171	chr4,17695
chrUn_AAWZ02038398	chr21,7689
chrUn_AAWZ02038395	chr14,108370
chrUn_AAWZ02038394	chr1,15742
chrUn_AAWZ02038391	chr1,27865
chrUn_AAWZ02038390	chr1,41134
chrUn_AAWZ02038393	chr4,26107
chrUn_AAWZ02038392	chr7,30853
chrUn_GL343488	chr23,1896016,chrUn_random,471351,chr2,2163
chrUn_GL343489	chr1,483805,chr9,12343
chrUn_GL343480	chr23,1109287,chr3,2355
chrUn_GL343481	chr23,2133348,chrUn_random,18555,chr3,7741
chrUn_GL343482	chrZ,338947,chr5,16668,chr2,10050
chrUn_GL343483	chr11,3916200
chrUn_GL343484	chr6,291469,chrUn_random,83195,chr4,58249,chr1,15250,chr22,15161,chr13,13400,chr10,2935
chrUn_GL343485	chr8,1755211
chrUn_GL343486	chr10,947084,chr28,13887
chrUn_GL343487	chr11,1144986
chrUn_AAWZ02038469	chr28,16472
chrUn_AAWZ02038466	chrUn_random,17806,chr14,5558
chrUn_AAWZ02038465	chr2,12538
chrUn_AAWZ02038463	chr2,50587
chrUn_AAWZ02038460	chr5,25750
chrUn_AAWZ02041283	chr14,25517
chrUn_AAWZ02041280	chr21,31011
chrUn_AAWZ02041286	chr5,22703
chrUn_AAWZ02041284	chr18,24484
chrUn_AAWZ02040373	chr8,16067
chrUn_AAWZ02037173	chr9,48466
chrUn_AAWZ02040376	chr1,9333
chrUn_AAWZ02040377	chr1,93517
chrUn_AAWZ02036379	chr2,42119
chrUn_AAWZ02038480	chr4,11287
chrUn_AAWZ02038483	chr28,23226,chrZ,6799
chrUn_AAWZ02038482	chr5,17398
chrUn_AAWZ02038485	chr10,55538
chrUn_AAWZ02038484	chr7,47279
chrUn_AAWZ02038487	chr5,20738,chrZ,11823
chrUn_AAWZ02038488	chr11,14384
chrUn_AAWZ02036376	chr6,32442
chrUn_AAWZ02038009	chr28,34797
chrUn_AAWZ02038008	chr11,28040
chrUn_GL344546	chr21,55198,chrUn_random,15310
chrUn_AAWZ02038003	chr1,49910
chrUn_AAWZ02038002	chrUn_random,27290,chr1,21366,chr16,2131
chrUn_AAWZ02036774	chr7,10790
chrUn_GL344547	chr11,109661
chrUn_AAWZ02036773	chr4,25734
chrUn_GL343331	chr6,624544
chrUn_AAWZ02039020	chr11,37283
chrUn_GL344540	chr14,31973
chrUn_AAWZ02039022	chrUn_random,15865
chrUn_AAWZ02037530	chr28,93907
chrUn_GL344541	chr4,19200
chrUn_AAWZ02040735	chr19,26037
chrUn_GL343309	chr3,409694,chr1,80769,chrUn_random,22374,chr7,10815,chr6,8381,chrZ,6373,chr2,2704
chrUn_GL344995	chr6,33664,chr8,10678
chrUn_GL343308	chr23,682937
chrUn_AAWZ02038158	chr23,9352
chrUn_AAWZ02037893	chr19,15591
chrUn_AAWZ02036833	chr21,95374
chrUn_AAWZ02039678	chr12,45833
chrUn_AAWZ02036514	chr20,14232,chr3,14217,chrZ,2848
chrUn_AAWZ02036517	chr7,12993
chrUn_AAWZ02038737	chr3,13736
chrUn_GL344465	chr1,107120
chrUn_AAWZ02038735	chr2,17366
chrUn_AAWZ02038131	chrUn_random,21076
chrUn_AAWZ02038130	chr4,12121
chrUn_AAWZ02041173	chr1,10286
chrUn_GL344464	chr21,26315
chrUn_AAWZ02039739	chr1,17843
chrUn_AAWZ02040488	chr21,30993
chrUn_AAWZ02040489	chr2,14719,chr3,9866
chrUn_AAWZ02040486	chr17,20762
chrUn_GL343303	chr1,214229
chrUn_AAWZ02040485	chr28,18799
chrUn_AAWZ02039731	chr14,13960,chr10,7805
chrUn_AAWZ02038649	chrUn_random,19377
chrUn_GL344462	chr16,23133
chrUn_AAWZ02037916	chr5,10872
chrUn_AAWZ02037917	chr8,15843
chrUn_AAWZ02037914	chr8,24760
chrUn_GL343892	chr2,88341,chrUn_random,54825,chr3,16125,chr11,7190
chrUn_AAWZ02037912	chr7,17639
chrUn_GL344461	chr14,47671,chrZ,45231,chrUn_random,16290
chrUn_AAWZ02037910	chr21,22040
chrUn_AAWZ02040506	chr18,15025
chrUn_AAWZ02039284	chrUn_random,40382,chr9,5912
chrUn_AAWZ02037440	chr17,64504,chrUn_random,7423
chrUn_GL344460	chr17,58541
chrUn_AAWZ02039280	chr10,36103,chr9,6864
chrUn_AAWZ02037918	chr4,9166
chrUn_AAWZ02037919	chr17,93016
chrUn_AAWZ02041347	chr1,18761,chr18,3197
chrUn_AAWZ02036190	chr11,17696
chrUn_AAWZ02040504	chr4,18577
chrUn_AAWZ02036194	chr5,25364,chr1,22173
chrUn_AAWZ02039402	chrE22C19W28_E50C23,28835
chrUn_GL345117	chrUn_random,23299,chr3,3061,chr18,2839
chrUn_AAWZ02037308	chr1,9861
chrUn_AAWZ02037351	chrUn_random,6558
chrUn_AAWZ02040502	chr1,6494
chrUn_GL343891	chr11,479806
chrUn_GL344681	chr5,17980
chrUn_GL344680	chr21,20407,chr1,9678
chrUn_AAWZ02039510	chr7,22349
chrUn_GL344685	chr20,24332
chrUn_AAWZ02039513	chr6,26320
chrUn_GL344689	chr27,24183,chrUn_random,16385
chrUn_GL344688	chr10,86880
chrUn_AAWZ02037767	chr2,43971,chrZ,2922,chrE64_random,2908
chrUn_GL344113	chrUn_random,104972,chr1,11182,chr18,3643
chrUn_GL344444	chr1,92439,chr4,10723
chrUn_GL344447	chr24,115887
chrUn_GL344446	chr25,18053
chrUn_GL344441	chr25,43104,chr10,15339
chrUn_GL344440	chr17,152714
chrUn_GL344115	chr6,138705
chrUn_GL344114	chr14,127126
chrUn_AAWZ02039608	chr11,25646
chrUn_AAWZ02037823	chrUn_random,48328
chrUn_GL344119	chr1,15521,chr3,13036
chrUn_GL344118	chr26,85511,chr2,69650,chr3,25053
chrUn_GL344449	chr21,194904
chrUn_GL344448	chr9,18326
chrUn_AAWZ02041982	chr2,15358
chrUn_GL343890	chr5,90543,chr9,30502,chr7,10142
chrUn_AAWZ02040151	chrUn_random,10413
chrUn_AAWZ02040152	chr2,43905
chrUn_AAWZ02040154	chr17,29494,chr8,4146
chrUn_GL344753	chr9,14068
chrUn_AAWZ02040156	chr16_random,18828
chrUn_AAWZ02039188	chr3,6902
chrUn_AAWZ02040159	chr3,11716
chrUn_AAWZ02036999	chr17,84347,chr8,3493
chrUn_AAWZ02039378	chr7,21164
chrUn_AAWZ02036993	chr25,39670
chrUn_GL343897	chrUn_random,134337,chr1,10058
chrUn_AAWZ02037801	chrZ,11404
chrUn_AAWZ02037132	chr5,10496
chrUn_AAWZ02037133	chr3,19872
chrUn_AAWZ02037134	chr1,29783
chrUn_AAWZ02037136	chr17,15957
chrUn_GL344998	chr10,94613
chrUn_GL343929	chr25,12928
chrUn_GL343928	chr3,32641,chr5,17218,chrUn_random,17213
chrUn_GL344207	chrZ,15201
chrUn_GL344206	chr9,8813
chrUn_GL344205	chr9,19109
chrUn_GL344204	chrUn_random,28947,chr21,14905,chr28,9097,chr27,8624
chrUn_GL343923	chr5,267177
chrUn_GL344202	chr17,329084
chrUn_GL344201	chr21,75312,chrUn_random,16968,chr26,9937
chrUn_GL343920	chr2,61884
chrUn_AAWZ02039391	chr2,23850,chr1,3605
chrUn_AAWZ02037722	chr10,53118,chrZ,10131
chrUn_AAWZ02037001	chr6,20366
chrUn_GL343895	chr9,155167,chr1,10475,chr3,9625
chrUn_AAWZ02038518	chr6,28534
chrUn_AAWZ02040262	chr26,8124
chrUn_AAWZ02040201	chr25,53655
chrUn_AAWZ02039674	chr1,13046
chrUn_AAWZ02035514	chr24,49525
chrUn_GL344069	chr4,105237,chr3,7193
chrUn_GL344860	chr3,11857
chrUn_GL344611	chr11,20917,chr1,7773
chrUn_AAWZ02040847	chr18,24596
chrUn_GL344063	chr2,39245,chrUn_random,16287
chrUn_GL344062	chr17,168528
chrUn_GL344061	chr3,53492,chr5,44568
chrUn_GL344060	chr20,168574,chr2,82228
chrUn_GL344067	chr21,269676,chrUn_random,8455,chr9,3413
chrUn_GL344066	chr20,9728
chrUn_GL344065	chr1,144744,chrUn_random,15848,chr11,3041
chrUn_GL344064	chrUn_random,30218,chr6,6019
chrUn_GL344849	chr15,29561
chrUn_GL343819	chr1,361695
chrUn_GL343818	chr4,120038
chrUn_GL344669	chr6,8007
chrUn_GL344668	chrZ,43325
chrUn_GL343813	chr4,616289
chrUn_GL344664	chr2,23384
chrUn_GL343811	chr14,236429,chr1,31438,chr18,28665
chrUn_GL343810	chr6,581472
chrUn_GL343817	chr21,37400,chrZ,11508
chrUn_GL343816	chr24,38310,chrUn_random,37859,chr25,14798
chrUn_GL343815	chr4,299944
chrUn_GL344846	chr20,52954
chrUn_AAWZ02038262	chr14,10125
chrUn_AAWZ02041380	chr28,23216
chrUn_AAWZ02039881	chr10,9899
chrUn_AAWZ02040974	chr5,9255
chrUn_AAWZ02037839	chr1,24393
chrUn_AAWZ02040972	chr11,18004
chrUn_AAWZ02038267	chr2,34467
chrUn_AAWZ02040971	chr4,96849
chrUn_AAWZ02038266	chr3,19025
chrUn_AAWZ02040979	chr2,15814
chrUn_AAWZ02041691	chr4,33599
chrUn_AAWZ02035863	chr2,21239
chrUn_AAWZ02038304	chrUn_random,27342,chr7,10099
chrUn_AAWZ02037838	chrUn_random,12213,chr17,8542
chrUn_AAWZ02039679	chrZ,8237
chrUn_AAWZ02037648	chrUn_random,23025
chrUn_AAWZ02037649	chr8,33863
chrUn_AAWZ02037646	chr9,7124
chrUn_AAWZ02037647	chr17,33547
chrUn_AAWZ02041507	chr3,11761
chrUn_AAWZ02037642	chr7,13200
chrUn_GL344865	chrUn_random,54633,chr16_random,6315
chrUn_AAWZ02038303	chr6,17372,chr3,10369,chr9,4032,chr4,2467,chr14,2017,chr1,2012
chrUn_AAWZ02039191	chr21,50454
chrUn_AAWZ02040808	chrUn_random,13393
chrUn_AAWZ02040805	chr2,7500
chrUn_AAWZ02041090	chr21,25363
chrUn_AAWZ02041750	chr1,32826
chrUn_GL344864	chr19,55055
chrUn_AAWZ02039192	chr24,10413
chrUn_AAWZ02038805	chr7,15356
chrUn_GL344798	chr16,24417
chrUn_AAWZ02039408	chr7,15245
chrUn_AAWZ02039401	chr1,91837
chrUn_AAWZ02041578	chr11,34365
chrUn_AAWZ02041574	chr18,30003,chrUn_random,2817
chrUn_AAWZ02041577	chr1,16039
chrUn_AAWZ02041571	chr6,11509,chr4,2123
chrUn_AAWZ02039407	chr9,17441
chrUn_AAWZ02041618	chr1,11621
chrUn_AAWZ02035088	chr17,81202
chrUn_AAWZ02035082	chr11,76929
chrUn_AAWZ02041611	chr14,48974
chrUn_AAWZ02039405	chr24,23537
chrUn_AAWZ02041616	chr18,37381,chrUn_random,9976
chrUn_AAWZ02037480	chr2,10842
chrUn_AAWZ02039551	chr1,9279
chrUn_AAWZ02037481	chr10,37799
chrUn_AAWZ02039533	chrUn_random,21881
chrUn_AAWZ02037482	chr2,67199
chrUn_AAWZ02037220	chr6,9710
chrUn_AAWZ02039409	chr1,20661
chrUn_AAWZ02038809	chr22,11341
chrUn_GL344794	chr20,111329
chrUn_AAWZ02040719	chr11,9049
chrUn_AAWZ02040716	chr7,38355
chrUn_AAWZ02040712	chrE22C19W28_E50C23,14983
chrUn_AAWZ02040710	chr24,8115
chrUn_AAWZ02040711	chr2,59290
chrUn_AAWZ02037221	chrZ,80445
chrUn_GL343949	chr24,511003
chrUn_AAWZ02040686	chr2,21929
chrUn_GL343948	chr11,301271
chrUn_AAWZ02040866	chr21,28364
chrUn_AAWZ02040125	chrUn_random,30195
chrUn_GL343497	chr7,587193
chrUn_GL343496	chr5,261612,chr3,38325,chrUn_random,37786,chr7,9751
chrUn_GL343495	chr6,502297,chr1,7549
chrUn_GL343494	chr17,749664
chrUn_GL343493	chr1,634037,chr3,7373
chrUn_GL343492	chr10,314908
chrUn_GL343491	chrUn_random,284631,chr11,67702,chr1,56964,chr3,54784,chr10,51995,chr20,8305
chrUn_GL343490	chr10,1661436
chrUn_AAWZ02038255	chr3,7453
chrUn_AAWZ02038257	chr8,46257
chrUn_AAWZ02038250	chr28_random,45277
chrUn_AAWZ02038251	chrUn_random,15723
chrUn_GL343499	chr1,368446
chrUn_GL343498	chr23,1466779
chrUn_GL343941	chr10,531663
chrUn_AAWZ02039785	chr8,35218
chrUn_AAWZ02039536	chr1,16189,chrZ,3608
chrUn_AAWZ02040624	chr2,16544,chr7,6589
chrUn_GL343940	chr1,274742
chrUn_GL343943	chr17,376354
chrUn_AAWZ02041763	chr2,56606
chrUn_GL343942	chr28,90173
chrUn_AAWZ02037319	chr1,7218
chrUn_AAWZ02040368	chrUn_random,12389
chrUn_AAWZ02040367	chr2,14973
chrUn_GL343945	chr16,19432,chrE64_random,10487
chrUn_GL343446	chr11,2855968
chrUn_GL343944	chrUn_random,55106,chr21,7097
chrUn_AAWZ02036348	chr17,65775
chrUn_GL344267	chr1,230673,chr11,11957
chrUn_AAWZ02036345	chr5,37022,chr4,9765
chrUn_AAWZ02036694	chr1,9909
chrUn_GL343946	chr1,32046
chrUn_AAWZ02036342	chr4,23948
chrUn_AAWZ02036691	chr4,15241
chrUn_GL344493	chr17,79195
chrUn_AAWZ02041651	chr19,23163
chrUn_GL344142	chrUn_random,69535,chr18,20480
chrUn_AAWZ02039787	chr7,14810
chrUn_AAWZ02036748	chr21,71242,chrUn_random,16150
chrUn_AAWZ02038031	chrUn_random,15020
chrUn_AAWZ02038032	chr4,8821
chrUn_GL344143	chr8,168002
chrUn_AAWZ02039038	chr5,14975
chrUn_AAWZ02037225	chr22,14018,chr27,2215
chrUn_GL344496	chr19,148249
chrUn_AAWZ02040563	chr3,24768
chrUn_AAWZ02039033	chr2,122513
chrUn_AAWZ02039032	chrZ,14448
chrUn_AAWZ02039031	chr2,62409
chrUn_GL344145	chrUn_random,35005,chr11,17245
chrUn_AAWZ02039293	chr1,29056
chrUn_AAWZ02039290	chr13,16115,chr8,15352
chrUn_AAWZ02039297	chr21,18292
chrUn_GL344494	chr19,89885
chrUn_AAWZ02039299	chr4,46988
chrUn_GL344147	chr19,56942
chrUn_AAWZ02039786	chr2,9445
chrUn_AAWZ02039535	chr1,9300
chrUn_AAWZ02041178	chr6,24739,chr8,2318
chrUn_AAWZ02037226	chr4,110339
chrUn_AAWZ02038746	chr17,94641
chrUn_AAWZ02038743	chr6,29092
chrUn_AAWZ02041144	chrUn_random,20863
chrUn_AAWZ02040499	chr16,19672
chrUn_AAWZ02038101	chr21,59286
chrUn_AAWZ02038102	chr21,40452
chrUn_AAWZ02038103	chrUn_random,40172
chrUn_AAWZ02040495	chr26,17752
chrUn_AAWZ02040494	chr24,9385,chr28,7066
chrUn_AAWZ02040497	chr4,13138
chrUn_AAWZ02040496	chr14,15242
chrUn_AAWZ02038109	chr1,28119,chr2,2855
chrUn_AAWZ02040492	chr1,10691,chr12,6790
chrUn_AAWZ02039723	chr4,10815,chr6,2190
chrUn_AAWZ02038412	chr4,39009,chr1,2572
chrUn_AAWZ02037907	chrZ,32443
chrUn_AAWZ02037906	chrZ,16900,chr14,4689
chrUn_AAWZ02037227	chr7,39866
chrUn_AAWZ02037900	chr2,28744
chrUn_AAWZ02036675	chr5,15263
chrUn_AAWZ02039729	chr15,35445
chrUn_AAWZ02041381	chr19,22969
chrUn_AAWZ02037909	chr28,67592
chrUn_AAWZ02037908	chr10,36294
chrUn_AAWZ02041384	chr28,18641
chrUn_AAWZ02040217	chr3,13542
chrUn_GL344816	chrUn_random,19670,chrE22C19W28_E50C23_random,3404,chr14,2369
chrUn_AAWZ02038411	chr1,52182
chrUn_GL344817	chr21,8063
chrUn_AAWZ02036670	chr14,98096
chrUn_AAWZ02037479	chr21,106283
chrUn_AAWZ02040261	chr6,47465
chrUn_AAWZ02036671	chr11,80438
chrUn_AAWZ02037142	chrUn_random,57349
chrUn_AAWZ02036231	chr23,270462
chrUn_AAWZ02036232	chr17,204733
chrUn_AAWZ02037344	chr4,19837
chrUn_AAWZ02039503	chr11,22931
chrUn_GL344812	chr17,34923
chrUn_AAWZ02037349	chr16,17131
chrUn_AAWZ02039507	chr1,21587
chrUn_AAWZ02039506	chr2,38749
chrUn_AAWZ02039505	chr1,15931
chrUn_AAWZ02037144	chr4,14888
chrUn_GL343310	chr4,4024907,chr27,9889
chrUn_GL343311	chr2,2806743,chr4,19301,chr1,10672
chrUn_GL343312	chrUn_random,1445676,chr18,57134,chrE22C19W28_E50C23_random,42365,chr1,38335,chr16,37570,chr14,13730,chrE64,4207,chr9,2939
chrUn_GL343313	chr4,1128593
chrUn_GL343314	chr5,1596975,chr4,14790,chrW_random,9600
chrUn_GL343315	chr3,1955933
chrUn_GL343316	chr7,3188816,chr16,6803
chrUn_GL343317	chr4,1361488
chrUn_GL343318	chr5,1896539,chr1,9793,chr3,2935
chrUn_GL343319	chr2,3471705,chr1,410501
chrUn_AAWZ02037832	chr4,13166
chrUn_AAWZ02037835	chr20,19190
chrUn_AAWZ02037834	chr8,87886
chrUn_AAWZ02038931	chr17,14844
chrUn_AAWZ02040145	chr28,24176
chrUn_AAWZ02037795	chr2,17320
chrUn_AAWZ02040149	chr17,16885
chrUn_AAWZ02040148	chr19,26428
chrUn_AAWZ02038817	chr11,74046
chrUn_GL344788	chr8,41493
chrUn_GL344789	chr11,63243
chrUn_AAWZ02038813	chr3,14003,chr13,9211
chrUn_AAWZ02038810	chr23,7989
chrUn_AAWZ02037120	chr14,25321
chrUn_GL344782	chr4,17112
chrUn_GL344783	chr28,129622
chrUn_AAWZ02040341	chr7,21974
chrUn_GL343847	chr10,50108,chrZ,7295
chrUn_GL344786	chr1,31860
chrUn_AAWZ02040570	chr3,21703
chrUn_GL344784	chr1,42689
chrUn_GL344785	chr3,28784
chrUn_GL343958	chr5,32026,chr3,2236
chrUn_GL343959	chr8,121478,chr21,10419
chrUn_GL343952	chr1,177618
chrUn_GL344273	chr24,377782
chrUn_GL344270	chr28,84326
chrUn_GL344271	chrUn_random,30776
chrUn_GL343956	chr17,217799
chrUn_GL343957	chr11,340458
chrUn_GL343954	chr14,99569
chrUn_GL343955	chrUn_random,146150,chr20,7623
chrUn_AAWZ02037311	chr2,16067
chrUn_AAWZ02038039	chr24,60824
chrUn_AAWZ02037019	chr4,32062
chrUn_AAWZ02037012	chr25,169424
chrUn_AAWZ02037011	chr16,18242
chrUn_AAWZ02038921	chr1,20028
chrUn_AAWZ02041966	chr11,19684
chrUn_AAWZ02038925	chr28,19966
chrUn_GL345114	chr4,17863
chrUn_GL344875	chr2,44722,chr22,19094
chrUn_GL344096	chr2,17566
chrUn_GL344097	chr17,325069,chr28,7132
chrUn_GL344094	chr17,167585
chrUn_GL344095	chr2,194409
chrUn_GL344092	chr4,151944
chrUn_GL344093	chr11,206400
chrUn_GL344090	chr7,51594
chrUn_AAWZ02039819	chrUn_random,22818
chrUn_AAWZ02037582	chr3,38002
chrUn_GL344098	chr2,87719
chrUn_GL344099	chr16,127387,chr18,28623,chrUn_random,27471
chrUn_GL344306	chr14,52559
chrUn_GL344307	chrUn_random,28050
chrUn_GL344304	chr2,48722
chrUn_GL344877	chr14,14952
chrUn_GL344302	chrUn_random,447902,chr12,4428
chrUn_AAWZ02036837	chr3,32932
chrUn_GL344300	chr21,28868,chrUn_random,19971
chrUn_GL344301	chr21,79934
chrUn_GL344651	chr28,44618,chr10,4197
chrUn_GL344652	chr16,8159
chrUn_GL344878	chr18,25372,chr28,11272,chrUn_random,2021
chrUn_GL344879	chr7,22193
chrUn_GL344308	chr1,50734
chrUn_GL344309	chr6,45541
chrUn_GL344989	chr17,67520
chrUn_AAWZ02039667	chrZ,40474
chrUn_AAWZ02036522	chr1,13888
chrUn_AAWZ02040966	chr28,11988
chrUn_AAWZ02040961	chr28,23386
chrUn_GL343883	chr14,673732
chrUn_GL344898	chr17,57247
chrUn_GL344897	chr2,26445
chrUn_AAWZ02040560	chr11,12972
chrUn_GL344892	chr1,22219
chrUn_AAWZ02040968	chr17,10870
chrUn_GL344890	chr14,21959
chrUn_AAWZ02035874	chr4,17536
chrUn_AAWZ02036695	chr17,46289
chrUn_AAWZ02037989	chr5,40367
chrUn_AAWZ02037657	chr26,15903
chrUn_AAWZ02037656	chr11,48311,chrUn_random,28935,chr10,3077
chrUn_AAWZ02041540	chr17,10075
chrUn_AAWZ02041813	chr4,18792
chrUn_AAWZ02041546	chr6,8894
chrUn_AAWZ02041815	chr10,10363
chrUn_AAWZ02041818	chr28,26556
chrUn_AAWZ02040812	chr1,22062
chrUn_AAWZ02040815	chr14,14133
chrUn_AAWZ02040817	chr3,18351
chrUn_AAWZ02040229	chr17,22319
chrUn_AAWZ02036553	chr4,15505,chr3,9845
chrUn_AAWZ02037984	chr12,21443
chrUn_AAWZ02038731	chr17,24216
chrUn_GL344647	chr20,33308
chrUn_GL344646	chr1,28347
chrUn_AAWZ02041644	chr1,13726
chrUn_AAWZ02036823	chr2,15224
chrUn_GL344699	chr14,37206
chrUn_AAWZ02038736	chr28,61214
chrUn_AAWZ02035767	chr7,155845
chrUn_GL344644	chr14,135527
chrUn_GL344866	chrUn_random,10513
chrUn_GL343794	chr5,219400
chrUn_GL343795	chr10,414221
chrUn_GL343796	chr2,156416
chrUn_GL343797	chr24,261389
chrUn_GL343790	chr2,553256,chr21,2455
chrUn_GL343791	chrZ,442240
chrUn_GL343792	chr1,150318,chr4,24586,chrUn_random,23471,chr11,7058
chrUn_GL343793	chr1,127869,chr2,122498
chrUn_AAWZ02041607	chr15,40793,chrUn_random,2589,chr19,2050
chrUn_GL344873	chr14,27508
chrUn_AAWZ02041605	chr11,13919
chrUn_AAWZ02036826	chr12,19567
chrUn_GL343798	chr4,134390,chrZ,13755
chrUn_GL343799	chr12,79619,chr5,57970
chrUn_AAWZ02041601	chr19,22969
chrUn_AAWZ02041600	chr9,10797
chrUn_GL343556	chr17,961003,chrUn_random,7917
chrUn_GL343557	chrUn_random,287197,chr2,2942,chr14,2252,chr18,2033
chrUn_GL343554	chr25,663980
chrUn_GL343555	chr3,93505,chr5,56086,chrUn_random,18779
chrUn_GL343552	chrZ,98143,chr1,30913,chr2,13404
chrUn_GL343553	chr3,397053,chr1,11664
chrUn_GL343550	chr15,1290037
chrUn_GL343551	chr3,338632,chr1,24327
chrUn_GL343558	chr23,926926,chrUn_random,49746,chr3,33637,chrE22C19W28_E50C23,4005
chrUn_GL343559	chr1,435386
chrUn_AAWZ02041177	chr8,18679
chrUn_GL343888	chr17,550895
chrUn_AAWZ02040059	chr20,11760
chrUn_AAWZ02036444	chr5,34800,chr18,33235
chrUn_AAWZ02040709	chr4,14731
chrUn_AAWZ02036940	chr1,12816
chrUn_AAWZ02039735	chr6,30881
chrUn_AAWZ02039669	chrZ,19455
chrUn_AAWZ02040702	chr19,35173
chrUn_AAWZ02036528	chr18,41112,chrUn_random,36047,chr16,2620
chrUn_AAWZ02041777	chr1,22500
chrUn_GL343889	chr19,501758,chr6,5799
chrUn_AAWZ02041779	chr2,19690
chrUn_GL343966	chr17,286861,chr4,10047
chrUn_AAWZ02039732	chr17,19590
